Data
37,3389,Female,12,0
19,2816,Male,2,0
53,6285,Male,12,0
61,8604,Female,30,1
54,10598,Female,2,0
19,3110,Male,18,0
50,2918,Male,22,0
28,8725,Male,12,0
50,10310,Male,19,0
45,14709,Male,1,1
35,3986,Male,30,0
58,3641,Female,26,0
64,6814,Male,12,1
70,3480,Male,1,1
21,6561,Male,14,1
33,7416,Male,14,0
23,3735,Male,11,0
57,12965,Female,14,1
57,14849,Male,24,1
32,3202,Female,30,0
41,11257,Male,23,1
29,7598,Male,29,0
28,13441,Female,26,0
69,8439,Female,2,1
63,14027,Female,19,1
22,10018,Male,26,0
45,2385,Male,28,0
62,14882,Male,18,0
25,13554,Female,7,0
42,13078,Female,21,1
31,2970,Female,5,0
60,4475,Female,24,1
46,4160,Male,21,0
45,5467,Male,1,1
24,4219,Female,4,0
33,13604,Female,13,1
36,4569,Female,3,1
58,4766,Female,15,1
40,13760,Female,9,0
38,12515,Male,6,1
40,5444,Female,7,0
67,8825,Female,26,1
55,9380,Female,19,1
67,7814,Female,11,1
59,3914,Male,0,1
44,12001,Female,17,0
38,12967,Female,2,1
56,7932,Female,16,0
65,4867,Male,14,1
57,12405,Male,23,1
32,8949,Male,7,0
28,13869,Female,4,0
56,3306,Male,12,0
66,4309,Male,21,1
26,12576,Male,20,0
49,11302,Male,19,0
43,3477,Female,10,1
57,4272,Male,30,1
69,7558,Male,7,0
50,5420,Male,22,1
65,7945,Female,26,1
57,9054,Female,20,1
56,8750,Male,20,1
30,5953,Male,3,0
56,12749,Male,11,1
70,12206,Female,23,1
61,13194,Male,28,0
65,14123,Male,9,0
59,5768,Male,11,0
66,12955,Male,14,0
55,12049,Female,8,1
65,2181,Male,2,0
22,5189,Female,25,0
41,14188,Female,25,0
70,7580,Male,11,1
22,4234,Male,0,1
23,6480,Male,14,1
48,8924,Male,5,1
29,2416,Female,14,1
54,8542,Female,30,1
63,2958,Male,19,1
25,4147,Male,18,0
18,8909,Male,17,1
66,8258,Male,24,1
32,5564,Female,0,1
35,4072,Male,7,0
32,6350,Male,4,1
30,11665,Male,10,1
24,2188,Female,20,1
34,8340,Female,4,1
25,11202,Male,10,0
61,11242,Female,9,1
61,6988,Female,25,1
47,4433,Male,22,0
20,9246,Male,20,0
61,7287,Female,21,0
28,12936,Female,17,0
31,10222,Male,25,0
31,3202,Male,20,1
56,6291,Male,1,1
66,8916,Male,17,1
64,9997,Male,19,1
40,8637,Female,27,1
44,14922,Female,0,1
40,12949,Male,22,1
44,12728,Male,17,0
18,14963,Female,1,0
19,4234,Male,2,0
37,6344,Male,26,0
24,2467,Female,12,0
35,4313,Male,10,0
36,7930,Female,8,1
44,4486,Male,7,1
63,3057,Female,20,0
36,3579,Male,25,0
49,4224,Female,1,0
38,14219,Male,10,0
31,14667,Male,24,0
31,14180,Male,16,1
46,2469,Male,2,1
60,13234,Female,26,0
36,4737,Male,30,1
43,11224,Male,0,0
61,7346,Male,9,1
67,10166,Female,11,0
50,2252,Male,30,0
62,4257,Female,26,1
56,12440,Female,14,1
31,13189,Female,26,1
41,9887,Male,0,1
56,5919,Male,3,0
51,5332,Female,1,0
25,2044,Female,20,1
25,9621,Female,14,0
41,5970,Male,23,1
26,6852,Male,10,1
61,14796,Female,17,1
67,12310,Female,28,0
66,12540,Male,15,0
58,13990,Male,22,1
37,10312,Female,26,1
60,10613,Female,29,1
67,10081,Female,2,1
39,11650,Male,24,1
66,14429,Female,7,1
50,9248,Male,27,0
26,11750,Female,20,0
26,5299,Female,12,1
23,13575,Female,0,1
65,5375,Female,13,1
50,9685,Female,4,0
56,7979,Male,23,0
35,12637,Male,29,0
23,14911,Female,26,1
63,2078,Female,11,0
53,3294,Female,0,0
51,13748,Female,1,1
48,12010,Male,30,0
68,5173,Male,29,0
23,8447,Male,5,1
24,3488,Male,26,1
27,4390,Male,23,1
46,6044,Female,27,1
39,7929,Male,2,1
65,11612,Female,17,1
36,10326,Male,23,1
44,5162,Female,1,0
66,10514,Male,2,0
30,9063,Female,27,0
37,2727,Female,9,1
32,12419,Female,5,1
33,6220,Female,4,1
43,9335,Female,22,1
48,14866,Male,11,0
25,3337,Female,12,1
27,4092,Female,8,0
31,6937,Female,21,0
23,9752,Male,13,1
56,14167,Male,9,0
40,2196,Male,1,1
67,3405,Male,2,0
19,3140,Male,8,0
46,13599,Female,19,0
51,13872,Female,9,1
57,11102,Female,20,1
27,6553,Male,8,1
67,2301,Female,27,1
47,5722,Male,27,1
57,14935,Female,12,0
25,4998,Female,19,0
55,2447,Male,15,0
32,7386,Male,21,1
69,9262,Male,27,0
23,12923,Male,13,1
19,14565,Male,18,0
62,2933,Male,17,0
23,9410,Male,25,1
68,11643,Female,8,1
22,2484,Male,20,0
70,4408,Female,23,1
67,10531,Female,27,0
36,2145,Female,3,0
